course_uuid,course_code,latest_version_uuid
a690ac6b-d059-0f7d-199e-aaccc22e07a5,FLGR.01.381,fabb0b20-a1cd-e0a5-e073-7817c22c43a8
abb6d8b3-5591-15a4-9ebb-76a97b671828,LOFY.01.123,f9feea24-8fe3-2cca-1f45-997d1c523aac
20e924ac-72de-f19e-c18d-2e6eaa76b314,FLGR.03.298,e4193507-cd18-c6b0-02b3-4234ed0ce9bf
ba19d407-d633-e27b-1709-f006a18516ba,FLLC.00.006,d0131912-205a-daad-608e-dac291b32a14
200c8d91-4024-e746-ce3e-a606fcaff8c5,P2NC.00.120,f9d0a778-5abe-9934-326f-26302b3ef4a0
f8f68cf0-3a22-acd6-43bd-d91f9c4f48b7,SOSS.04.079,42b0587a-f137-d539-c29d-1ce7188b1cda
3d37f3db-24e2-1069-a5f9-cc986aefd6f6,MTMM.00.038,f42fdad7-3707-a54a-1a14-5d7fd82ab6a6
79da2c47-5d08-5fe9-3882-10373e8b533f,LTAT.06.004,fa593d61-05be-d576-599b-532cd7b49cb0
43c6f22c-845f-257e-b6dc-4be89f072cf0,LOKT.04.034,26bc278b-3771-73b0-e8df-f9710fe149f7
025e753e-5730-309e-a76c-961d520fd07a,MJRI.10.028,343e530a-fed3-75c5-2a3b-05f419f41530
548049bf-e4e4-df39-af7e-a6cf3c5c799d,LOKT.04.063,4135e71c-44bc-ff46-c7b8-7c12f755e4ab
b7130fcc-f275-b3ae-20ed-63dbeecbc544,LOOM.02.001,a5b5fd70-9e59-050d-8d26-ceb326edd922
6cc41fdf-d4c7-dcfd-5b21-4466ebce57c3,LTAT.05.023,4582a854-83e6-0b03-f817-56ca8c555abd
e6506420-2b48-be93-1324-54fcb6dc09a9,ARPS.01.005,040bffb2-2883-8465-0b78-3405c1a1f5e4
49a9593e-09bd-9e29-c9ef-37b665d6ccf9,SVNC.00.181,5bfd9ce8-54b1-9ffa-11a5-bfd35439b37f
f86892af-5a2c-2829-4ff4-c341787318d2,FLKU.05.121,9825383b-2000-6339-47f8-97809d860fd8
7120a013-d8b4-9ca7-cc29-7749659ff1a8,FLAJ.03.141,2e978cd4-9a40-9d2c-f846-574e79606806
dee061c3-8e45-24ce-b7fd-9c7ef6da0917,LOOM.03.050,a6d321bd-0dec-2bdf-c6e0-09c2112867d2
28e0da9f-79da-c928-4c60-963a401963a6,P2OG.02.058,cf132114-9af6-c8fe-4fa1-17f65053904a
e6c10100-e5e1-c0db-c970-afa4f1b339f3,FLFI.00.071,9de3bce1-eb57-b779-3743-430fae731e23
8098bbaa-73be-a506-7c38-08d1bbacf0a0,FLGR.06.031,03a3e45e-c40e-48a9-5c14-427e666822a1
d6d17077-25e4-edf0-05fd-99f4dd13fee0,LOFY.01.015,c0511373-7af6-9459-4cbd-6c8d05472772
5d168387-baee-7a00-756a-9fa5827ae44d,LOTI.05.041,4e05be24-a36c-8d65-18b7-d01097567921
a32a0362-b642-a544-60ee-a7180000a308,SHHI.02.029,f97b7dff-f39b-082e-1a91-55efa9f18967
4962eb6d-c324-0a1e-d229-2643a2a5d277,FLEE.00.052,7f9a57cc-7ef2-24d7-f726-8148bbfa311b
94a6983a-c41a-5bda-228e-642a62bd569e,SHRG.03.026,88e13b02-b715-8336-c196-6791bf5b7c16
8fb47afd-d168-d9d3-cea4-24e12395f1c4,P2OG.02.129,15260048-7770-10c5-52e3-daca87788f47
27bd07fd-7954-77a5-b2b0-f8a26d85b569,KKSP.02.024,1a5ba0ac-e7c3-f4ac-4545-59e45146a1e8
e6dab434-dc71-701a-b75e-959bd14adef0,P2VK.02.462,a0aa586c-2ef1-8a76-69b1-a95f205d5dfd
67196500-d8c5-560e-f06b-0aaf894ed026,P2VK.01.513,b491884e-0a45-eecc-febc-ba96fc68234a
77a18c51-c887-a65d-af90-1eabbeac8e89,LTAT.06.001,73f72e5e-7b1f-7f75-992a-77d6a1db11da
c7122ad3-d170-9fa9-1c27-794e793ea6a1,LOMR.03.016,776d4f90-c885-f2d9-c163-61494222e30f
cc6b9565-ab88-3ca4-3910-a697f664c2d1,LOKT.00.016,dd857c57-4b35-bf3d-8385-569cb1f6d5f9
ca7b2c60-2cfd-dd0e-b8ae-c1c300153973,MVFA.00.061,f112470f-ea15-3700-b322-1c2f3faf0c38
1e23914c-e82a-6c9d-c20a-c1881676607c,LOOM.04.066,fab66c2c-7ed3-5019-945d-1f38c18a0b66
da51cb9c-6eb0-c42b-c9ee-c19eb9239eb7,LOFY.05.042,bd6f3ebb-dc12-39b2-3996-f4307b614f2c
20cbf76e-949f-7eb7-bacc-b5318ca6b817,MTMS.02.015,d795ee1a-378f-f29d-95c5-63b7eab445e3
d1737c2e-3313-ec1a-a19e-0676acd641fc,SVHI.00.018,9dc29d7d-9d1c-9ad5-5977-e4bd04f77927
6f6b18fb-b40b-d444-e953-fee43e2b63a6,SOSS.04.206,8bbfef72-a243-448d-9fb4-de17e9ee244a
ef0d77ad-fb78-8d78-1c21-9bfbb0a592e2,MJRI.03.091,6284095d-ae6e-fda9-e152-a8a48b7a7fd9
